"X_STATE","IMONTH","mean_mental","State"
41,"12",4.76344086021505,"Oregon"
42,"01",3.77897574123989,"Pennsylvania"
42,"02",3.69282511210762,"Pennsylvania"
42,"03",3.99805447470817,"Pennsylvania"
42,"04",3.82988505747126,"Pennsylvania"
42,"05",4.18072289156626,"Pennsylvania"
42,"06",4.6027397260274,"Pennsylvania"
42,"07",4.52086811352254,"Pennsylvania"
42,"08",3.92616580310881,"Pennsylvania"
42,"09",4.53333333333333,"Pennsylvania"
42,"10",4.17991631799163,"Pennsylvania"
42,"11",4.34519572953737,"Pennsylvania"
42,"12",4.00554016620499,"Pennsylvania"
44,"01",3.58352941176471,"Rhode Island"
44,"02",4.42056074766355,"Rhode Island"
44,"03",4.09591194968553,"Rhode Island"
44,"04",3.97602739726027,"Rhode Island"
44,"05",3.49253731343284,"Rhode Island"
44,"06",3.43122676579926,"Rhode Island"
44,"07",3.39194139194139,"Rhode Island"
44,"08",3.63941299790356,"Rhode Island"
44,"09",4.71191135734072,"Rhode Island"
44,"10",3.94782608695652,"Rhode Island"
44,"11",3.89757412398922,"Rhode Island"
44,"12",3.71393643031785,"Rhode Island"
45,"01",3.43308746048472,"South Carolina"
45,"02",3.96246648793566,"South Carolina"
45,"03",3.87430167597765,"South Carolina"
45,"04",4.39055118110236,"South Carolina"
45,"05",4.2183908045977,"South Carolina"
45,"06",3.70116618075802,"South Carolina"
45,"07",3.69794050343249,"South Carolina"
45,"08",4.07622298065984,"South Carolina"
45,"09",3.98699609882965,"South Carolina"
45,"10",4.04836895388076,"South Carolina"
45,"11",3.68053244592346,"South Carolina"
45,"12",3.96440677966102,"South Carolina"
46,"01",2.39232409381663,"South Dakota"
46,"02",2.97236180904523,"South Dakota"
46,"03",3.0844327176781,"South Dakota"
46,"04",3.01277955271566,"South Dakota"
46,"05",2.52908587257618,"South Dakota"
46,"06",3.09367088607595,"South Dakota"
46,"07",3.14956011730205,"South Dakota"
46,"08",2.30612244897959,"South Dakota"
46,"09",2.97987927565392,"South Dakota"
46,"10",2.64713375796178,"South Dakota"
46,"11",3.01415701415701,"South Dakota"
